codeUic,nomGare,nomCommune,voyageurs,annee
87009696,La Douzillère,JOUE-LES-TOURS,17749,2015
87009696,La Douzillère,JOUE-LES-TOURS,13502,2016
87009696,La Douzillère,JOUE-LES-TOURS,11507,2017
87009696,La Douzillère,JOUE-LES-TOURS,11104,2018
87009696,La Douzillère,JOUE-LES-TOURS,10886,2019
87009696,La Douzillère,JOUE-LES-TOURS,7664,2020
87009696,La Douzillère,JOUE-LES-TOURS,9147,2021
87009696,La Douzillère,JOUE-LES-TOURS,9903,2022
87009696,La Douzillère,JOUE-LES-TOURS,6573,2023
87009696,La Douzillère,JOUE-LES-TOURS,9979,2024
87109306,Lille CHR,LILLE,216828,2015
87109306,Lille CHR,LILLE,219877,2016
87109306,Lille CHR,LILLE,239655,2017
87109306,Lille CHR,LILLE,239606,2018
87109306,Lille CHR,LILLE,287018,2019
87109306,Lille CHR,LILLE,192628,2020
87109306,Lille CHR,LILLE,209963,2021
87109306,Lille CHR,LILLE,312323,2022
87109306,Lille CHR,LILLE,349246,2023
87109306,Lille CHR,LILLE,379266,2024
87111278,Porte de Clichy,PARIS,4347686,2015
87111278,Porte de Clichy,PARIS,4245846,2016
87111278,Porte de Clichy,PARIS,4126841,2017
87111278,Porte de Clichy,PARIS,3928691,2018
87111278,Porte de Clichy,PARIS,3762544,2019
87111278,Porte de Clichy,PARIS,1318285,2020
87111278,Porte de Clichy,PARIS,2502513,2021
87111278,Porte de Clichy,PARIS,3107862,2022
87111278,Porte de Clichy,PARIS,3307276,2023
87111278,Porte de Clichy,PARIS,3647167,2024
87111849,Marne la Vallée Chessy,CHESSY,5443822,2015
87111849,Marne la Vallée Chessy,CHESSY,5418784,2016
87111849,Marne la Vallée Chessy,CHESSY,6009276,2017
87111849,Marne la Vallée Chessy,CHESSY,5996489,2018
87111849,Marne la Vallée Chessy,CHESSY,5432886,2019
87111849,Marne la Vallée Chessy,CHESSY,2492919,2020
87111849,Marne la Vallée Chessy,CHESSY,3312209,2021
87111849,Marne la Vallée Chessy,CHESSY,4641120,2022
87111849,Marne la Vallée Chessy,CHESSY,4319252,2023
87111849,Marne la Vallée Chessy,CHESSY,4448487,2024
87111864,Balsièges-Bourg,BALSIEGES,3,2015
87111864,Balsièges-Bourg,BALSIEGES,5,2016
87111864,Balsièges-Bourg,BALSIEGES,2,2017
87111864,Balsièges-Bourg,BALSIEGES,6,2018
87111864,Balsièges-Bourg,BALSIEGES,12,2019
87111864,Balsièges-Bourg,BALSIEGES,16,2020
87111864,Balsièges-Bourg,BALSIEGES,0,2021
87111864,Balsièges-Bourg,BALSIEGES,26,2022
87111864,Balsièges-Bourg,BALSIEGES,32,2023
87111864,Balsièges-Bourg,BALSIEGES,23,2024
